session_id,question_id,is_correct
1,136,1
1,1235,0
1,3103,1
1,2488,0
1,1226,0
1,1451,0
1,2714,1
1,2893,1
1,1047,0
1,983,0
2,1287,1
2,60,1
2,2680,0
2,2125,1
2,2283,1
2,18,0
2,975,0
2,2360,0
2,1281,1
2,2655,0
3,2710,0
3,1017,0
3,1343,1
3,1078,1
3,2138,0
3,1123,1
3,1227,0
3,2148,1
3,2775,1
3,1113,1
4,1133,1
4,2104,1
4,1148,1
4,1093,1
4,1378,1
4,1716,0
4,35,0
4,25,0
4,2938,1
4,1243,1
5,1305,0
5,2455,0
5,987,1
5,1166,1
5,39,1
5,1171,0
5,1497,1
5,66,0
5,1047,1
5,2741,1
6,95,0
6,1122,1
6,31,1
6,1517,0
6,961,0
6,1471,0
6,2465,0
6,1150,0
6,1534,0
6,2505,1
7,2338,1
7,2542,0
7,1124,0
7,2371,0
7,1743,0
7,1026,1
7,2349,1
7,1934,1
7,2640,0
7,1335,0
8,1954,0
8,1016,1
8,1163,0
8,2440,1
8,2336,1
8,1673,0
8,2745,1
8,2108,0
8,1641,1
8,324,0
9,3010,1
9,7,0
9,2434,0
9,1618,1
9,27,1
9,2535,1
9,1473,1
9,1634,1
9,2493,0
9,2644,0
10,1228,0
10,1253,1
10,1088,1
10,1064,0
10,2107,1
10,1841,0
10,2118,1
10,1182,0
10,1487,0
10,1987,0
11,2910,0
11,2740,1
11,2144,0
11,1322,0
11,2419,0
11,2753,1
11,2299,1
11,2308,1
11,2402,0
11,1048,0
12,1093,1
12,1036,0
12,2040,1
12,2028,0
12,2335,1
12,2716,0
12,1067,1
12,2927,1
12,1150,1
12,1620,0
13,1879,1
13,1074,1
13,1005,0
13,1558,0
13,2492,0
13,1409,0
13,1537,1
13,2541,0
13,2520,0
13,2804,0
14,1824,1
14,2518,1
14,34,1
14,2818,0
14,1187,0
14,1643,0
14,969,0
14,1321,1
14,2461,1
14,3010,1
15,2701,1
15,1719,0
15,1277,1
15,1129,0
15,2953,0
15,2499,0
15,1272,0
15,55,0
15,1589,1
15,2073,1
16,1179,1
16,1164,0
16,2160,0
16,3010,1
16,1390,0
16,2733,0
16,1139,1
16,163,1
16,2938,1
16,2493,1
17,952,0
17,2319,1
17,1581,0
17,1098,0
17,1225,0
17,1117,1
17,2428,1
17,1255,0
17,2924,0
17,1734,1
18,2663,1
18,2574,0
18,2816,1
18,3093,0
18,1034,0
18,2019,0
18,2790,1
18,1683,1
18,971,1
18,30,1
19,2706,0
19,46,1
19,1026,0
19,999,1
19,1307,1
19,3071,0
19,2144,0
19,2190,1
19,129,1
19,1573,0
20,1830,1
20,2267,0
20,2800,0
20,972,0
20,1346,0
20,1568,0
20,1099,0
20,1571,1
20,1417,1
20,2680,0
21,2354,0
21,1799,0
21,2406,1
21,2764,1
21,2558,0
21,1015,0
21,1048,1
21,2175,1
21,1715,0
21,1246,1
22,2040,0
22,1160,0
22,1312,0
22,1417,1
22,7,1
22,1618,1
22,2762,0
22,2434,0
22,1012,1
22,1447,0
23,3069,1
23,146,0
23,1111,1
23,1246,1
23,1066,1
23,2032,0
23,2537,0
23,1147,1
23,1034,1
23,2619,0
24,995,0
24,1618,0
24,28,1
24,2735,0
24,2511,0
24,2734,0
24,2290,1
24,1078,1
24,1517,1
24,1029,1
25,1101,0
25,1744,0
25,1143,1
25,1010,1
25,2619,1
25,973,1
25,1396,0
25,1302,1
25,1209,1
25,2407,0
26,1919,0
26,1167,0
26,1210,1
26,1004,0
26,1367,0
26,1562,1
26,2416,0
26,1272,0
26,2049,0
26,2833,1
27,56,1
27,1499,1
27,1536,0
27,1958,0
27,2592,0
27,2457,0
27,1487,1
27,1497,1
27,1512,0
27,162,0
28,979,0
28,2718,0
28,2765,0
28,1954,1
28,2589,1
28,1209,0
28,2741,0
28,2807,1
28,1709,0
28,1392,1
29,1755,0
29,1105,0
29,2414,0
29,2702,1
29,2712,0
29,2296,1
29,1452,0
29,2504,0
29,2310,1
29,1927,1
30,1985,0
30,2839,0
30,2390,0
30,49,1
30,1836,0
30,2734,0
30,1119,0
30,1664,1
30,2908,0
30,1025,0
31,1143,1
31,2296,0
31,2613,0
31,1751,0
31,1088,1
31,2268,1
31,3014,0
31,1420,1
31,4,0
31,1057,0
32,990,0
32,1847,0
32,3,0
32,1795,1
32,1061,0
32,2438,0
32,1156,0
32,1566,0
32,1714,1
32,2296,0
33,1246,0
33,2754,0
33,1427,0
33,1705,0
33,1070,0
33,2749,0
33,2584,1
33,2489,1
33,1755,0
33,2739,0
34,1170,1
34,2571,0
34,2190,0
34,2736,1
34,2888,0
34,2205,1
34,2314,0
34,2373,1
34,2315,1
34,1238,0
35,1114,0
35,83,0
35,1447,1
35,1081,1
35,2351,0
35,1529,0
35,1172,1
35,1683,1
35,2585,0
35,2862,0
36,978,1
36,1356,0
36,1726,1
36,148,0
36,979,1
36,46,0
36,1502,0
36,2783,1
36,2322,0
36,2143,0
37,1069,0
37,1361,1
37,1161,0
37,2924,0
37,22,1
37,1339,0
37,1497,1
37,42,1
37,2419,0
37,2588,1
38,1095,1
38,90,0
38,1872,0
38,2725,0
38,51,0
38,2466,1
38,1243,1
38,1350,1
38,2149,0
38,76,0
39,2409,1
39,1374,1
39,1498,1
39,1142,1
39,2728,0
39,1168,0
39,1004,0
39,1259,0
39,2413,0
39,1243,0
40,2270,1
40,1571,1
40,2920,0
40,198,1
40,1342,0
40,2765,1
40,2769,0
40,2732,0
40,2351,1
40,840,0
41,1197,1
41,1662,0
41,2052,1
41,2897,1
41,955,0
41,2368,0
41,2053,0
41,2733,1
41,1071,0
41,1263,1
42,1417,1
42,2412,0
42,1032,0
42,2000,0
42,1523,0
42,1210,0
42,1147,0
42,1209,1
42,2839,0
42,3074,0
43,1523,1
43,2873,1
43,2371,0
43,2412,1
43,2358,0
43,1593,1
43,1498,0
43,2428,0
43,2361,0
43,1775,1
44,1698,0
44,1314,0
44,953,1
44,127,1
44,1568,1
44,3021,0
44,2673,1
44,198,0
44,2418,1
44,2606,1
45,2370,1
45,1800,0
45,2076,0
45,1508,1
45,1640,1
45,1767,1
45,2350,0
45,1502,0
45,2531,0
45,2321,0
46,2005,1
46,2433,0
46,1425,0
46,1604,0
46,1354,0
46,2574,0
46,1673,0
46,1570,0
